id,pergunta,subfórum,qtd de respostas,qtd de bancos mencionados,lista de bancos e frequência
1,melhor banco para receber dinheiro em dolar?,investimentos,6,3,"[{""Nomad"": 4}, {""Nubank"": 3}, {""Wise"": 2}]"
2,Melhor banco PJ pra receber pagamentos internacionais?,empreendedorismo,23,6,"[{""Husky"": 7}, {""Nubank"": 3}, {""Wise"": 3}, {""Inter"": 2}, {""C6 Bank"": 2}, {""Nomad"": 2}]"
3,Melhor banco de questões para residência?,MedicinaBrasil,22,2,"[{""Estratégia"": 11}, {""Medcof"": 2}]"
4,Qual o melhor banco?,financaspessoais,22,7,"[{""Bradesco"": 4}, {""Itaú"": 5}, {""Santander"": 3}, {""Nubank"": 3}, {""Banco do Brasil"": 2}, {""Inter"": 2}, {""PicPay"": 1}]"
5,O melhor banco atualmente é o BTG? Vale a pena eu imigrar do Inter para ele?,investimentos,37,7,"[{""BTG"": 6}, {""Inter"": 7}, {""Banco do Brasil"": 4}, {""Santander"": 2}, {""Itaú"": 2}, {""Nubank"": 3}, {""Caixa"": 1}]"
6,Melhor Banco 100% Digital?,literaciafinanceira,38,8,"[{""ActivoBank"": 8}, {""Revolut"": 8}, {""Moey"": 4}, {""TradeRepublic"": 3}, {""Bankinter"": 2}, {""Millennium"": 2}, {""Caixa"": 1}, {""N26"": 1}]"
7,Qual melhor banco ultimamente?,investimentos,57,20,"Inter (16), Itaú (8), C6 (7), Nubank (6), Caixa (6), BB (5), Santander (3), Bradesco (2), BTG (2), PicPay (2), Mercado Pago (1), PicPay (1), Banco do Brasil (1), XP (1), PagSeguro (1), Banco do Brasil (1), Banco do Brasil (1), Banco do Brasil (1), Banco do Brasil (1)"
8,Qual melhor banco de questões que vc conhece?,enem,3,2,"Repertório enem (1), Sindra.ai (1), Estuda.com (2)"
9,Melhor banco em Portugal,portugueses,6,4,"Moey (2), Ativo Bank (2), Trade Republic (3), Millennium (1)"
10,Qual é o melhor banco português para investir?,literaciafinanceira,41,12,"ActivoBank (6), Banco Best (4), Invest (3), Carregosa (3), Banco Best (4), XTB (3), Degiro (3), Banco Santander (3), Caixa Geral de Depósitos (CGD) (3), Trade Republic (2), Big (2), Millennium (1), BCP (1)"
11,Qual é o melhor banco?,CasualPT,7,7,"Activobank (2), CGD (2), ActivoBank (2), BIG (1), Caixa Agrícola (1), Moey (1), Revolut (1)"
12,Qual o melhor banco pra valores médios?,investimentos,3,3,"Itaú (2), Santander (1), Bradesco (1)"
13,Melhor banco para abrir conta aos 18 anos e poupar?,literaciafinanceira,16,10,"Activobank (4), Bankinter (2), Moey (3), ActivoBank (2), Revolut (1), Santander (1), Bankinter (1), Trading212 (1), N26 (1)"
